Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)?,How many US states have you visited?,What is your favorite season?
8/25/2026 8:20:43,Psychology,iPhone,4-6 years,8,3,2,Yes,F1 motorsport,70,8,Fall
8/25/2026 9:35:51,Statistics,iPhone,1-3 years,8,3,4,Yes,,70,16,Fall
8/25/2026 13:43:23,Economics-Business and Applied Mathematics,iPhone,< 1 year,8,3,3,No,Baseball,70,27,Fall
8/25/2026 15:11:38,Data Science (concentration in Computer Science),iPhone,< 1 year,8,3,4,Yes,Football (go Bears!),73,9,Fall
8/25/2026 15:26:11,Math and Physics,iPhone,1-3 years,8,2,4,Yes,Figure Skating,73,26,Fall
8/25/2026 20:43:55,Analytics,iPhone,< 1 year,7,1,3,Yes,Baseball,70 degrees,21,Spring
8/26/2026 10:10:40,Statistics,iPhone,< 1 year,7,4,4,Yes,Basketball,73,35-40,Summer
8/26/2026 10:11:02,statistics and media studies,iPhone,< 1 year,6-7,2,3,No,None!,55,20,Winter
8/26/2026 10:11:07,Computer science,iPhone,< 1 year,9,5,4,Yes,Football,64,16,Fall
8/26/2026 10:11:18,Economics,iPhone,< 1 year,5,4,3,Yes,College Hoops,70,7,Summer
8/26/2026 10:11:20,Commerce,iPhone,< 1 year,8-9,1,2,Yes,College football,70,13,Spring
8/26/2026 10:11:25,Economics,iPhone,< 1 year,8,2,2,No,Basketball,75,6,Fall
8/26/2026 10:11:27,Computer science,iPhone,< 1 year,5,3,3,Yes,Basketball,68,3,Winter
8/26/2026 10:11:35,Computer Science,iPhone,< 1 year,8,4,4,Yes,Basketball,70,25-30 if you count driving through,Summer
8/26/2026 10:11:38,Computer Science,iPhone,1-3 years,8,3,3,Yes,Soccer,65,4,Spring
8/26/2026 10:11:47,Biology BA,Android,< 1 year,6-8,3,3,Yes,Football,70-85,8,Fall
8/26/2026 10:11:50,Astrophysics,iPhone,< 1 year,7,3,4,Yes,Soccer,78,10,Spring
8/26/2026 10:11:51,Economics,iPhone,4-6 years,8,3,4,Yes,Soccer,80,15,Spring
8/26/2026 10:11:51,Communications,iPhone,10+ years,7-9,1,2,No,Football,85,47,Fall
8/26/2026 10:11:54,Cognitive Science,Android,< 1 year,7,3,2,Yes,Baseball,74,10,Spring
8/26/2026 10:12:09,"Cognitive Science, Computer Science Concentration ",iPhone,< 1 year,7,4,4,Yes,Soccer,74,11,Fall
8/26/2026 10:12:14,Economics,iPhone,< 1 year,7,1,1,No,Soccer,70,9,Fall
8/26/2026 10:12:27,Statistics,iPhone,< 1 year,8,2,3,Yes,Ice Hockey,72,8,Spring
8/26/2026 10:12:28,Applied Statistics,iPhone,1-3 years,8,3,3,Yes,Soccer,70,12,Fall
8/26/2026 10:12:43,Economics,Android,7-10 years,7,1,2,No,Volleyball and Basketball,80,20,Spring
8/26/2026 10:13:01,Statistics,iPhone,< 1 year,8,3,4,Yes,Football,75,11,Summer
8/26/2026 10:13:19,B.A. in computer science,iPhone,< 1 year,"4-5 if I am lucky, I’m a diagnosed insomniac ",5,5,Yes,Mma or hockey,72,22,Winter
8/26/2026 10:13:25,Computational Modeling and Data Analytics,iPhone,< 1 year,8,3,4,Yes,Football,78,14,Summer
8/26/2026 10:13:30,Economics,iPhone,< 1 year,7,3,3,No,Football,72,14,Fall
8/26/2026 10:13:33,Psychology and Economics,iPhone,4-6 years,8,1,2,No,Ice hockey and tennis,63 degrees,10,Spring
8/26/2026 10:13:35,Statistics and Economics,iPhone,< 1 year,8,2,2,No,College Basketball,73,22,Spring
8/26/2026 10:13:47,Economics,iPhone,4-6 years,8 to 9,1,1,No,I don’t watch TV,55,11,Spring
8/26/2026 10:14:16,Statistics,iPhone,< 1 year,7.5,2,2,No,NA,65,6,Fall
8/26/2026 10:14:54,Astronomy-physics,iPhone,< 1 year,6,4,4,Yes,I don’t watch sports,64,32,Fall
8/26/2026 10:19:11,Mathematics,iPhone,< 1 year,7,1,3,No,College football,77,17,Summer
8/26/2026 10:29:48,Applied Mathematics,iPhone,4-6 years,5.5,2,4,Yes,Basketball,76,39,Fall
8/26/2026 10:42:03,"Computational Applied Mathematics and Statistics, Data Science Minor",iPhone,< 1 year,6,3,4,Yes,Basketball,73,11,Winter
8/26/2026 10:50:59,English,iPhone,< 1 year,6,4,4,No,Soccer,70,"47 (all except California, Hawaii, and Alaska)",Fall
8/26/2026 11:00:11,Data Science,iPhone,< 1 year,7,5,4,Yes,soccer,64,20,Fall
8/26/2026 11:01:02,Data Science/Mathematics,iPhone,< 1 year,6-7,5,4,Yes,Football,70's,7,Fall
8/26/2026 11:02:29,Computer Science,iPhone,1-3 years,6-8,5,5,Yes,Football,75,8,Fall
8/26/2026 11:02:46,Math and Computer Science,iPhone,< 1 year,7,4,5,Yes,Football,70,22,Fall
8/26/2026 11:04:34,computer science,Android,< 1 year,7,4,4,Yes,football,70,4,Fall
8/26/2026 11:04:34,Applied Mathematics in Economics,iPhone,< 1 year,7,1,4,No,Basketball,78,25ish,Fall
8/26/2026 11:05:15,Psychology,iPhone,1-3 years,7,2,2,No,Football,68,15,Fall
8/26/2026 11:05:17,Applied Data Analytics,iPhone,< 1 year,8,3,3,Yes,College Basketball,77,20,Summer
8/26/2026 11:05:31,Computer Science,iPhone,< 1 year,6-7,3,3,No,Basketball,71,9 states,Fall
